"","age","ed","union","employ","income","debtinc","creddebt","lncreddebt","othdebt","lnothdebt","default","jobsat","marital","spoused","spousedcat","reside","pets","pets_cats","pets_dogs","pets_birds","pets_reptiles","pets_small","pets_saltfish","pets_freshfish","homeown","cars","carown","carbuy","commute","commutetime","commutecar","commutemotorcycle","commutecarpool","commutebus","commuterail","commutepublic","commutebike","commutewalk","commutenonmotor","telecommute","reason","polview","polparty","polcontrib","vote","card","cardtype","cardbenefit","cardfee","cardtenure","card2fee","card2tenure","carditems","card2items","card2spent","active","tenure","churn","longmon","lnlongmon","longten","tollfree","tollmon","lntollmon","tollten","lntollten","equip","equipmon","equipten","callcard","cardmon","lncardmon","cardten","lncardten","wireless","wiremon","lnwiremon","wireten","lnwireten","multline","voice","pager","callid","callwait","forward","confer","ebill","owntv","hourstv","ownvcr","owndvd","owncd","ownpda","ownpc","ownipod","owngame","ownfax","news","response_01","response_02","response_03","townsize","gender","birthmonth","jobcat","retire","hometype","addresscat","cartype","carvalue","carbought","card2","card2type","card2benefit","bfast","internet","Customer_cat"
"2",22,17,0,0,15,18.6,1.22,0.2,1.57,0.45,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,2,1,0,1,29,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,0,4,5,2,34.94,1,39,0,8.9,2.19,330.6,0,0,2.37,0,6.13,1,54.85,1975,1,16,2.77,610,6.41,1,45.65,3.82,1683.55,7.43,1,1,1,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0,"5","0","May","2","0","3","1","1","6.8","0","4","1","3","1","4","low_spend_cust"
"3",67,14,0,16,35,9.9,0.93,-0.07,2.54,0.93,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,3,1,1,4,24,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,0,25,9,7,175.75,0,65,0,28.4,3.35,1858.35,0,0,2.46,0,6.71,0,0,0,1,23,3.14,1410,7.25,0,0,2.83,0,7.04,1,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0,"4","1","June","2","0","1","5","1","18.8","0","4","1","3","3","0","low_spend_cust"
"6",64,17,0,22,107,5.6,1.06,0.06,4.93,1.6,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,0,-1,0,8,23,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,1,9,11,0,0,0,28,0,8.1,2.09,264.9,1,26.75,3.29,726.6,6.59,1,35.5,970.95,1,28.25,3.34,765,6.64,0,0,2.72,0,6.2,0,0,1,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0,"4","0","August","3","0","1","5","-1","-1","-1","3","3","2","3","0","medium_spend_cust"
"8",44,16,0,11,97,14.4,5.95,1.78,8.02,2.08,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,1,1,1,5,31,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,0,20,6,7,712.1,0,46,0,14.85,2.7,612.7,1,24,3.18,1110.4,7.01,0,0,0,1,14.5,2.67,630,6.45,0,0,2.89,0,6.57,1,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0,"4","1","October","1","0","3","4","0","55.5","0","3","1","4","3","0","medium_spend_cust"
"11",59,19,0,8,47,8.6,1.36,0.31,2.68,0.99,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,3,1,1,1,17,1,0,0,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,16,0,17,11,7,322.07,0,50,1,8.55,2.15,446.55,0,0,2.67,0,6.34,1,31.2,1568.35,1,19,2.94,930,6.84,0,0,2.94,0,6.84,1,0,0,0,1,0,0,1,1,26,1,1,1,0,1,1,0,0,0,0,0,0,"1","1","July","1","0","2","3","0","28","0","1","1","4","3","3","medium_spend_cust"
"15",72,20,1,27,17,9.8,1.28,0.24,0.39,-0.94,0,4,1,17,4,2,0,0,0,0,0,0,0,0,1,1,1,0,10,32,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,3,2,2,0,33,1,26,12,3,39.93,1,67,0,13.9,2.63,954.05,0,0,2.72,0,7.03,1,38.55,2580.75,1,23.25,3.15,1525,7.33,0,0,2.79,0,7.11,1,0,0,0,0,1,0,1,1,24,1,1,1,0,1,0,1,1,1,0,0,0,"1","1","December","4","1","1","3","1","9.3","0","4","4","3","3","0","medium_spend_cust"
"17",57,17,0,24,171,9.5,1.8,0.59,14.44,2.67,0,5,1,16,3,3,1,0,1,0,0,0,0,0,1,2,1,1,1,19,1,1,0,0,0,0,0,0,0,0,9,5,1,0,0,4,1,1,0,19,0,13,14,4,96.23,1,48,0,4.15,1.42,214.85,1,28.75,3.36,1444.65,7.28,1,43.15,1990.25,1,29.25,3.38,1315,7.18,1,40.2,3.69,1840.45,7.52,0,1,1,1,1,0,1,1,1,17,1,1,1,1,1,1,1,1,0,0,0,1,"1","1","October","4","0","1","3","1","75.8","0","3","2","4","3","3","medium_spend_cust"
"21",61,16,0,4,35,10.1,1.23,0.21,2.3,0.83,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,4,0,0,1,34,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,0,15,8,7,240.38,0,53,0,11.2,2.42,567.05,0,0,2.51,0,6.46,0,0,0,1,9.5,2.25,480,6.17,0,0,2.69,0,6.67,0,1,0,1,1,1,1,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0,"3","0","June","1","0","2","5","0","9.4","1","4","2","3","3","1","medium_spend_cust"
"43",78,11,0,30,28,9.8,1.64,0.49,1.11,0.1,0,5,1,15,3,2,9,0,0,0,0,0,0,9,0,2,1,0,4,34,0,0,1,1,0,0,0,0,0,1,2,4,0,1,1,2,3,2,0,14,1,12,5,7,227.41,0,31,0,5,1.61,133.35,0,0,2.25,0,5.43,0,0,0,1,10.75,2.37,295,5.69,0,0,2.68,0,5.93,0,0,0,0,0,0,0,0,1,20,1,1,1,0,0,0,0,0,1,1,0,0,"4","0","September","3","1","3","5","0","15.8","1","5","1","1","2","0","low_spend_cust"
"47",43,19,0,4,33,12.6,2.12,0.75,2.04,0.71,0,1,1,20,5,2,5,0,0,0,0,0,0,5,1,1,1,0,1,22,1,0,1,0,0,0,0,0,0,0,9,4,1,0,1,4,1,3,1,9,0,3,14,9,253.58,1,27,0,6.65,1.89,201.55,0,0,2.46,0,5.93,0,0,0,0,0,1.7,0,5.3,0,0,2.68,0,6.33,0,0,0,0,0,0,0,0,1,18,1,1,1,0,0,0,1,0,0,0,0,0,"1","1","August","2","0","3","3","1","17.2","0","1","2","3","1","0","medium_spend_cust"
"48",45,10,0,15,44,13.6,0.99,-0.01,5,1.61,0,2,1,9,1,5,1,1,0,0,0,0,0,0,1,1,1,0,8,39,1,0,1,1,1,0,0,1,0,0,9,5,1,0,0,3,2,2,1,27,1,20,9,2,54.74,1,62,0,16.15,2.78,1016.85,0,0,2.53,0,6.79,0,0,0,1,28.25,3.34,1730,7.46,0,0,2.89,0,7.11,1,0,0,0,0,0,0,0,1,13,1,1,1,0,0,0,0,0,0,0,0,0,"5","0","December","6","0","1","4","1","30.9","1","2","3","4","1","0","medium_spend_cust"
"56",61,20,0,11,62,2.3,0.54,-0.62,0.89,-0.12,0,4,1,18,4,4,2,0,2,0,0,0,0,0,1,0,-1,0,6,23,0,1,0,0,0,1,0,0,0,0,9,5,0,0,1,1,4,2,1,12,0,10,10,9,378.38,1,30,1,5.6,1.72,174.05,1,28.25,3.34,793.05,6.68,0,0,0,1,12.75,2.55,330,5.8,0,0,2.68,0,5.9,0,0,0,0,1,1,1,1,1,18,1,1,1,0,0,1,0,0,0,0,1,0,"1","1","April","3","0","1","3","-1","-1","-1","4","1","2","2","0","medium_spend_cust"
"59",68,11,0,36,35,12.2,0.74,-0.3,3.53,1.26,0,3,1,16,3,2,0,0,0,0,0,0,0,0,0,2,1,1,1,19,1,0,1,0,0,0,0,1,0,0,9,6,1,0,0,1,2,4,0,30,0,24,4,9,313.28,0,64,0,17.7,2.87,1114,0,0,2.48,0,6.68,0,0,0,1,25.5,3.24,1585,7.37,0,0,3.02,0,7.25,0,0,0,1,1,1,1,0,1,21,1,1,1,0,0,0,0,1,1,1,0,0,"1","1","August","4","1","2","5","0","13.9","0","2","1","3","2","0","low_spend_cust"
"60",22,16,0,0,20,5.2,0.28,-1.27,0.76,-0.27,1,1,1,13,2,4,3,3,0,0,0,0,0,0,0,0,-1,0,4,19,0,0,0,1,0,0,0,1,0,0,9,2,1,0,1,4,3,2,0,4,0,4,16,6,110.53,1,29,1,7.2,1.97,220.9,0,0,2.25,0,5.65,1,21.4,559.85,0,0,2.3,0,5.93,0,0,2.82,0,6.59,0,0,0,0,0,0,0,1,1,18,1,1,1,0,1,1,1,0,0,0,0,0,"3","0","June","6","0","2","1","-1","-1","-1","1","1","3","1","4","medium_spend_cust"
"61",46,10,0,5,25,7.7,0.48,-0.74,1.45,0.37,0,4,0,-1,-1,1,6,0,0,0,0,0,0,6,0,2,1,1,5,26,0,0,0,0,1,0,0,0,0,0,1,2,1,0,1,2,2,3,0,16,0,9,7,6,108.01,0,31,0,9.2,2.22,322.5,1,17.5,2.86,552.75,6.31,0,0,0,0,0,2.51,0,5.86,0,0,2.68,0,6.09,0,0,0,1,0,1,0,0,1,20,1,1,1,0,0,0,0,0,1,0,0,0,"1","1","March","1","0","2","3","0","13.4","0","1","1","3","1","0","low_spend_cust"
"70",62,9,1,31,14,15,0.58,-0.55,1.52,0.42,0,1,1,11,1,2,3,0,1,0,0,2,0,0,1,3,0,0,1,18,1,0,1,1,0,0,0,0,0,0,9,3,0,0,0,2,2,1,0,37,0,28,7,1,15.58,0,70,0,41.75,3.73,2817.05,1,28.75,3.36,2108.75,7.65,0,0,0,1,38.25,3.64,2655,7.88,0,0,2.88,0,7.22,1,0,0,1,0,1,1,0,1,16,1,1,1,0,0,0,0,0,1,0,0,0,"1","1","September","5","1","3","5","1","5.1","0","3","3","4","3","0","low_spend_cust"
"71",33,14,1,4,82,6.9,3.75,1.32,1.91,0.65,0,4,1,14,2,2,5,0,0,0,0,0,0,5,1,2,0,0,1,30,1,0,0,0,0,0,0,0,0,0,9,5,0,0,1,1,2,1,0,8,1,8,9,4,145.98,0,21,1,4.45,1.49,81.7,0,0,2.3,0,2.64,0,0,0,0,0,1.39,0,1.61,0,0,2.82,0,3.01,0,0,0,0,0,0,0,1,1,15,1,1,1,0,1,0,1,0,1,1,0,0,"3","0","May","2","0","1","2","1","58.4","0","4","2","4","3","0","medium_spend_cust"
